Order Id,Order #,Sent Date,Order Date,Check Id,Server,Table,Dining Area,Service,Dining Option,Item Selection Id,Master Id,SKU,PLU,Menu Item,Menu Subgroup(s),Menu Group,Menu,Sales Category,Gross Price,Discount,Net Price,Qty,Tax,Void?,Deferred,Tax Exempt,Tax Inclusion Option,Dining Option Tax,Tab Name
5E+17,1,10/1/20 9:31,10/1/20 9:31,5E+17,Alfredo Vargas,******TO GO 2  ***!!!,Outside,,Dine In,5E+17,5E+17,,,Iced Tea (call for availability),,Cold,Coffee & Tea,Coffee,3.67,0,3.67,1,0.33,FALSE,FALSE,FALSE,Tax Included,No Effect,
5E+17,2,10/1/20 10:10,10/1/20 9:42,5E+17,Alfredo Vargas,,,,Dine In,5E+17,5E+17,,,Cappuccino,,Coffee,Coffee & Tea,Coffee,3.9,0,3.9,1,0.35,FALSE,FALSE,FALSE,Tax Included,No Effect,
5E+17,2,10/1/20 10:10,10/1/20 9:42,5E+17,Alfredo Vargas,,,,Dine In,5E+17,5E+17,,,Plain,,Croissants,Pastries,Food,3,0,3,1,0.00E+00,FALSE,FALSE,FALSE,Tax Included,No Effect,
5E+17,2,10/1/20 10:10,10/1/20 9:42,5E+17,Alfredo Vargas,,,,Dine In,5E+17,5E+17,,,Darrin's Old Fashioned,,Cocktails,Adult Beverages,,10,0,10,1,0.89,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,3,10/1/20 10:13,10/1/20 10:13,5E+17,Alfredo Vargas,R4,Outside,,Dine In,5E+17,5E+17,,,Latte,,Coffee,Coffee & Tea,Coffee,4.13,0,4.13,1,0.37,FALSE,FALSE,FALSE,Tax Included,No Effect,
5E+17,4,10/1/20 10:53,10/1/20 10:53,5E+17,Alfredo Vargas,R4,Outside,,Dine In,5E+17,5E+17,,,Cold Brew,,Cold,Coffee & Tea,Coffee,3.9,0,3.9,1,0.35,FALSE,FALSE,FALSE,Tax Included,No Effect,
5E+17,5,10/1/20 11:38,10/1/20 11:38,5E+17,Alfredo Vargas,R2,Outside,,Dine In,5E+17,5E+17,,,Iced Americano,,Cold,Coffee & Tea,Coffee,3.67,0,3.67,1,0.33,FALSE,FALSE,FALSE,Tax Included,No Effect,
5E+17,6,10/1/20 11:40,10/1/20 11:40,5E+17,Alfredo Vargas,R4,Outside,,Dine In,5E+17,5E+17,,,Iced Tea (call for availability),,Cold,Coffee & Tea,Coffee,3.67,0,3.67,1,0.33,FALSE,FALSE,FALSE,Tax Included,No Effect,
5E+17,8,10/1/20 12:01,10/1/20 12:30,5E+17,,,,All Day,GrubHub Pickup,5E+17,5E+17,,,F'N BLT,,Lunch,Daytime,Food,10,0,10,1,0.89,FALSE,FALSE,FALSE,Tax Not Included,No Effect,Maya Gonzalez Grubhub #093812962980318
5E+17,8,10/1/20 12:01,10/1/20 12:30,5E+17,,,,All Day,GrubHub Pickup,5E+17,5E+17,,,Avocado Toast,,All-Day Breakfast,Daytime,Food,13,0,13,1,1.15,FALSE,FALSE,FALSE,Tax Not Included,No Effect,Maya Gonzalez Grubhub #093812962980318
5E+17,7,10/1/20 12:01,10/1/20 12:30,5E+17,,,,All Day,GrubHub Pickup,5E+17,5E+17,,,Iced Mocha,,Cold,Coffee & Tea,Coffee,5.05,0,5.05,1,0.45,FALSE,FALSE,FALSE,Tax Included,No Effect,Amanda Beltran Grubhub #622812961024563
5E+17,7,10/1/20 12:01,10/1/20 12:30,5E+17,,,,All Day,GrubHub Pickup,5E+17,5E+17,,,Banh Matter,,Lunch,Daytime,Food,13,0,13,1,1.15,FALSE,FALSE,FALSE,Tax Not Included,No Effect,Amanda Beltran Grubhub #622812961024563
5E+17,7,10/1/20 12:01,10/1/20 12:30,5E+17,,,,All Day,GrubHub Pickup,5E+17,5E+17,,,F'N BLT,,Lunch,Daytime,Food,14,0,14,1,1.24,FALSE,FALSE,FALSE,Tax Not Included,No Effect,Amanda Beltran Grubhub #622812961024563
5E+17,9,10/1/20 12:24,10/1/20 12:23,5E+17,Alfredo Vargas,R2,Outside,All Day,Dine In,5E+17,5E+17,,,Avocado Toast,,All-Day Breakfast,Daytime,Food,11,0,11,1,0.98,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,10,10/1/20 12:30,10/1/20 12:30,5E+17,Alfredo Vargas,8,Dining Room,All Day,Dine In,5E+17,5E+17,,,Avocado Toast,,All-Day Breakfast,Daytime,Food,9,0,9,1,0.8,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,10,10/1/20 12:30,10/1/20 12:30,5E+17,Alfredo Vargas,8,Dining Room,All Day,Dine In,5E+17,5E+17,,,Wilted Kale Grain Bowl,,Dinner Menu,Dinner,Food,12,0,12,1,1.06,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,9,10/1/20 12:44,10/1/20 12:23,5E+17,Alfredo Vargas,R2,Outside,All Day,Dine In,5E+17,5E+17,,,Iced Latte,,Cold,Coffee & Tea,Coffee,4.59,0,4.59,1,0.41,FALSE,FALSE,FALSE,Tax Included,No Effect,
5E+17,11,10/1/20 12:48,10/1/20 12:48,5E+17,Alfredo Vargas,,,All Day,GrubHub Pickup,5E+17,5E+17,,,Side Fries,,Lunch,Daytime,Food,5.75,0,5.75,1,0.51,FALSE,FALSE,FALSE,Tax Not Included,No Effect,Donna Carrera Grubhub #214812967641785
5E+17,11,10/1/20 12:48,10/1/20 12:48,5E+17,Alfredo Vargas,,,All Day,GrubHub Pickup,5E+17,5E+17,,,Avocado Toast,,All-Day Breakfast,Daytime,Food,11,0,11,1,0.98,FALSE,FALSE,FALSE,Tax Not Included,No Effect,Donna Carrera Grubhub #214812967641785
5E+17,11,10/1/20 12:48,10/1/20 12:48,5E+17,Alfredo Vargas,,,All Day,GrubHub Pickup,5E+17,5E+17,,,Horchata Cold Brew (call for availability),,Cold,DOORDASH,Coffee,6,0,6,1,0.53,FALSE,FALSE,FALSE,Tax Not Included,No Effect,Donna Carrera Grubhub #214812967641785
5E+17,12,10/1/20 13:01,10/1/20 13:01,5E+17,Edwin Krantz,,,All Day,GrubHub Pickup,5E+17,5E+17,,,Garlic Parmesan Fries,,Lunch,DOORDASH,Food,8.75,0,8.75,1,0.78,FALSE,FALSE,FALSE,Tax Not Included,No Effect,Sarah Heda Grubhub #212512963833102
5E+17,12,10/1/20 13:01,10/1/20 13:01,5E+17,Edwin Krantz,,,All Day,GrubHub Pickup,5E+17,5E+17,,,Iced Espresso,,Cold,DOORDASH,Coffee,6.25,0,6.25,1,0.55,FALSE,FALSE,FALSE,Tax Not Included,No Effect,Sarah Heda Grubhub #212512963833102
5E+17,12,10/1/20 13:01,10/1/20 13:01,5E+17,Edwin Krantz,,,All Day,GrubHub Pickup,5E+17,5E+17,,,Avocado Toast,,All-Day Breakfast,DOORDASH,Food,9,0,9,1,0.8,FALSE,FALSE,FALSE,Tax Not Included,No Effect,Sarah Heda Grubhub #212512963833102
5E+17,13,10/1/20 13:12,10/1/20 13:10,5E+17,Alfredo Vargas,******TO GO 2  ***!!!,Outside,All Day,Take Out,5E+17,5E+17,,,Rainbow Kale Salad,,Dinner Menu,Dinner,Food,13,0,13,1,1.15,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,13,10/1/20 13:12,10/1/20 13:10,5E+17,Alfredo Vargas,******TO GO 2  ***!!!,Outside,All Day,Take Out,5E+17,5E+17,,,Banh Matter,,Dinner Menu,Dinner,Food,13,0,13,1,1.15,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
