Item id,Order #,Sent Date,Order Date,Check Id,Server,Table,Dining Area,Service,Dining Option,Item Selection Id,Item Id,Master Id,SKU,PLU,Menu Item,Menu Subgroup(s),Menu Group,Menu,Sales Category,Gross Price,Discount,Net Price,Qty,Sales Total,Tax,Void?,Deferred,Tax Exempt,Tax Inclusion Option,Dining Option Tax,Tab Name
1,1,12/1/19 8:26,12/1/19 7:52,5E+17,Maya Gonzalez,,,,Dine In,5E+17,5E+17,5E+17,,,Drip Coffee,,Coffee,Coffee & Tea,Coffee,2.76,0,2.76,1,,0.24,FALSE,FALSE,FALSE,Tax Included,No Effect,
2,2,12/1/19 8:30,12/1/19 8:30,5E+17,Maya Gonzalez,105,Dining Room,,Dine In,5E+17,5E+17,5E+17,,,Pirate Fuel,,Brunch Cocktails,Beverages,Liquor,7.35,0,7.35,1,,0.65,FALSE,FALSE,FALSE,Tax Included,No Effect,
3,2,12/1/19 8:30,12/1/19 8:30,5E+17,Maya Gonzalez,105,Dining Room,,Dine In,5E+17,5E+17,5E+17,,,Chocolate,,Croissants,Pastries,Food,3.5,0,3.5,1,,0.00E+00,FALSE,FALSE,FALSE,Tax Included,No Effect,
4,2,12/1/19 8:46,12/1/19 8:30,5E+17,Maya Gonzalez,105,Dining Room,,Dine In,5E+17,5E+17,5E+17,,,Pirate Fuel,,Brunch Cocktails,Beverages,Liquor,7.35,0,7.35,1,,0.65,FALSE,FALSE,FALSE,Tax Included,No Effect,
5,3,12/1/19 9:08,12/1/19 9:07,5E+17,Maya Gonzalez,,,,Dine In,5E+17,5E+17,5E+17,,,Drip Coffee,,Coffee,Coffee & Tea,Coffee,2.76,0,2.76,1,,0.24,FALSE,FALSE,FALSE,Tax Included,No Effect,
6,4,12/1/19 9:09,12/1/19 9:09,5E+17,Maya Gonzalez,,,,Dine In,5E+17,5E+17,5E+17,,,Drip Coffee,,Coffee,Coffee & Tea,Coffee,2.3,0,2.3,1,,0.2,FALSE,FALSE,FALSE,Tax Included,No Effect,
7,5,12/1/19 9:18,12/1/19 9:12,5E+17,Maya Gonzalez,7,Dining Room,,Dine In,5E+17,5E+17,5E+17,,,Hot Tea,,Hot,Coffee & Tea,Coffee,3.22,0,3.22,1,,0.28,FALSE,FALSE,FALSE,Tax Included,No Effect,
8,6,12/1/19 9:20,12/1/19 9:18,5E+17,Maya Gonzalez,,,,Dine In,5E+17,5E+17,5E+17,,,Americano,,Coffee,Coffee & Tea,Coffee,3.22,0,3.22,1,,0.28,FALSE,FALSE,FALSE,Tax Included,No Effect,
9,6,12/1/19 9:20,12/1/19 9:18,5E+17,Maya Gonzalez,,,,Dine In,5E+17,5E+17,5E+17,,,Drip Coffee,,Coffee,Coffee & Tea,Coffee,2.3,0,2.3,1,,0.2,FALSE,FALSE,FALSE,Tax Included,No Effect,
10,2,12/1/19 9:20,12/1/19 8:30,5E+17,Maya Gonzalez,105,Dining Room,,Dine In,5E+17,5E+17,5E+17,,,Pirate Fuel,,Brunch Cocktails,Beverages,Liquor,7.35,0,7.35,1,,0.65,FALSE,FALSE,FALSE,Tax Included,No Effect,
