Sales Category,Dining Option,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
Liquor,,168,1426,240,1666,126.76,
Liquor,Dine In,168,1426,240,1666,126.76,
Coffee,,540,2109.41,19.12,2128.53,187.78,
Coffee,Dine In,526,2044.23,19.12,2063.35,181.96,
Coffee,GrubHub Pickup,14,65.18,0,65.18,5.82,
Food,,1019,10106.72,319.53,10426.25,886.53,
Food,Dine In,831,7870.22,319.53,8189.75,688.32,
Food,GrubHub Pickup,178,2120,0,2120,187.89,
Food,Take Out,10,116.5,0,116.5,10.32,
No Sales Category,,759,7349.1,180.14,7529.24,501.43,
No Sales Category,Dine In,726,6968.1,180.14,7148.24,477.12,
No Sales Category,GrubHub Pickup,30,355,0,355,23.42,
No Sales Category,Take Out,3,26,0,26,0.89,
N/A Beverages,,23,76.2,0,76.2,6.84,
N/A Beverages,Dine In,17,58.2,0,58.2,5.22,
N/A Beverages,GrubHub Pickup,6,18,0,18,1.62,
Wine,,50,567.56,23.88,591.44,50.44,
Wine,Dine In,50,567.56,23.88,591.44,50.44,
Coffee Beans,,4,80.01,0,80.01,0,
Coffee Beans,Dine In,4,80.01,0,80.01,0,
Beer,,1,3.67,0,3.67,0.33,
Beer,Dine In,1,3.67,0,3.67,0.33,
